+--------+-----------+---------------+--------------------------------+
| vundet | nomineret | vinderforhold | navn                           |
+--------+-----------+---------------+--------------------------------+
|     10 |        34 |        0.2941 | Lars Kaos Andresen             | 
|     10 |        30 |        0.3333 | Mikkel Bækgaard                | 
|      7 |        22 |        0.3182 | Palle Schmidt                  | 
|      7 |        16 |        0.4375 | Jacob Schmidt-Madsen           | 
|      6 |        22 |        0.2727 | Kristoffer Apollo              | 
|      6 |        17 |        0.3529 | Alex Uth                       | 
|      5 |        17 |        0.2941 | Ask Agger                      | 
|      5 |        15 |        0.3333 | Sebastian Flamant              | 
|      5 |        11 |        0.4545 | Klaus Meier Olsen              | 
|      4 |        17 |        0.2353 | Kristoffer Rudkjær             | 
|      4 |        14 |        0.2857 | Frederik Berg Østergaard       | 
|      4 |        12 |        0.3333 | Simon Steen Hansen             | 
|      4 |         8 |        0.5000 | Fredrik Axelzon                | 
|      3 |        10 |        0.3000 | Sanne Harder Flamant           | 
|      3 |        10 |        0.3000 | Tobias Wrigstad                | 
|      3 |         9 |        0.3333 | Anders Frost Bertelsen         | 
|      3 |         9 |        0.3333 | Thomas Munkholt                | 
|      3 |         8 |        0.3750 | Max Møller                     | 
|      3 |         7 |        0.4286 | Morten Greis Petersen          | 
|      3 |         4 |        0.7500 | Jonas Ellemand                 | 
|      2 |        16 |        0.1250 | Michael Erik Næsby             | 
|      2 |        16 |        0.1250 | Morten Jaeger                  | 
|      2 |        13 |        0.1538 | Mette Finderup                 | 
|      2 |         8 |        0.2500 | Morten Hougaard                | 
|      2 |         8 |        0.2500 | Per von Fischer                | 
|      2 |         8 |        0.2500 | Troels Chr. Jakobsen           | 
|      2 |         6 |        0.3333 | Johannes Busted Larsen         | 
|      2 |         6 |        0.3333 | Ryan Rohde Hansen              | 
|      2 |         5 |        0.4000 | Anders Skovgaard-Petersen      | 
|      2 |         5 |        0.4000 | Anette V. Petersen             | 
|      2 |         5 |        0.4000 | Mads Lunau                     | 
|      2 |         4 |        0.5000 | Anders Troelsen                | 
|      2 |         4 |        0.5000 | Henrik Vagner                  | 
|      2 |         4 |        0.5000 | Jorgo A. Larsen                | 
|      2 |         4 |        0.5000 | Mads L. Brynnum                | 
|      2 |         4 |        0.5000 | Malik Hyltoft                  | 
|      2 |         4 |        0.5000 | Niels Jensen                   | 
|      2 |         2 |        1.0000 | Daniel Benjamin Bjørn Clausen  | 
|      2 |         2 |        1.0000 | Peter Cornelius Møller         | 
|      1 |        11 |        0.0909 | Thomas Jakobsen                | 
|      1 |        10 |        0.1000 | Jacob Berg                     | 
|      1 |         7 |        0.1429 | Brian Rasmussen                | 
|      1 |         7 |        0.1429 | Lars Kroll                     | 
|      1 |         7 |        0.1429 | Nikolaj Lemche                 | 
|      1 |         6 |        0.1667 | Lars Vilhelmsen                | 
|      1 |         5 |        0.2000 | Anne Vinter Ratzer             | 
|      1 |         5 |        0.2000 | Claus Kliplev Jacobsen         | 
|      1 |         5 |        0.2000 | Frederik J. Jensen             | 
|      1 |         5 |        0.2000 | Martin Svendsen                | 
|      1 |         5 |        0.2000 | Morten Juul                    | 
|      1 |         5 |        0.2000 | René Toft                      | 
|      1 |         4 |        0.2500 | Anders Vestergaard Mortensen   | 
|      1 |         4 |        0.2500 | Jesper Stein Sandal            | 
|      1 |         4 |        0.2500 | Jonas Trier                    | 
|      1 |         4 |        0.2500 | Jonas Breum Jensen             | 
|      1 |         4 |        0.2500 | Martin W. Jürgensen            | 
|      1 |         4 |        0.2500 | Olle Jonsson                   | 
|      1 |         3 |        0.3333 | Anna Lawaetz                   | 
|      1 |         3 |        0.3333 | Anton Sølvsten                 | 
|      1 |         3 |        0.3333 | Christian Savioli              | 
|      1 |         3 |        0.3333 | Jakob Ponsgård                 | 
|      1 |         3 |        0.3333 | Jens Thorup Rasmussen          | 
|      1 |         3 |        0.3333 | Kristian Bach Petersen         | 
